,rotation,magnetic_potential_energy
123,123.0,6.764663180055606e-06
124,124.0,6.734822237909665e-06
125,125.0,6.704949726458129e-06
126,126.0,6.675750970904527e-06
127,127.0,6.648041840074291e-06
128,128.0,6.622458579016357e-06
129,129.0,6.599165015890586e-06
130,130.0,6.57788387626615e-06
131,131.0,6.558363071590821e-06
132,132.0,6.540890128917887e-06
133,133.0,6.526495713830855e-06
134,134.0,6.516782556090674e-06
135,135.0,6.513321289344422e-06
136,136.0,6.516782556090674e-06
137,137.0,6.526495713830854e-06
138,138.0,6.540890128917887e-06
139,139.0,6.558363071590822e-06
140,140.0,6.577883876266123e-06
141,141.0,6.599165015890567e-06
142,142.0,6.6224585790163565e-06
143,143.0,6.648041840074291e-06
144,144.0,6.675750970904527e-06
145,145.0,6.704949726458124e-06
146,146.0,6.734822237909665e-06
147,147.0,6.7646631800556065e-06
148,148.0,6.794074848802293e-06
149,149.0,6.823043959581203e-06
150,150.0,6.851815559727646e-06
151,151.0,6.880649498535551e-06
152,152.0,6.909635475665644e-06
153,153.0,6.938600860329671e-06
154,154.0,6.967121853185866e-06
155,155.0,6.994699425970529e-06
156,156.0,7.020993705973986e-06
157,157.0,7.045901688542696e-06
158,158.0,7.06949427202544e-06
159,159.0,7.091982560007678e-06
160,160.0,7.11369634960653e-06
161,161.0,7.134955612632472e-06
162,162.0,7.155892844566868e-06
163,163.0,7.176378933831246e-06
164,164.0,7.19607256455105e-06
165,165.0,7.214522005635871e-06
166,166.0,7.231299719405565e-06
167,167.0,7.246147415660626e-06
168,168.0,7.259060205506868e-06
169,169.0,7.270282514260605e-06
170,170.0,7.280251590183633e-06
171,171.0,7.289527493103313e-06
172,172.0,7.2986913197533355e-06
173,173.0,7.308183354791396e-06
174,174.0,7.318148453208126e-06
175,175.0,7.328369739371823e-06
176,176.0,7.3383031336896855e-06
177,177.0,7.34719511197267e-06
178,178.0,7.354246275013081e-06
179,179.0,7.358774927255104e-06
180,180.0,7.360335552209873e-06
