x,y,z,Bz
-0.008636364,-0.014393939,0.001,0.003892475
-0.008333333,-0.014393939,0.001,0.003558601
-0.008030303,-0.014393939,0.001,0.003227594
-0.007727273,-0.014393939,0.001,0.002901324
-0.007424242,-0.014393939,0.001,0.002581221
-0.007121212,-0.014393939,0.001,0.002268369
-0.006818182,-0.014393939,0.001,0.001963615
-0.006515152,-0.014393939,0.001,0.001667689
-0.006212121,-0.014393939,0.001,0.001381318
-0.005909091,-0.014393939,0.001,0.001105317
-0.005606061,-0.014393939,0.001,0.000840677
-0.00530303,-0.014393939,0.001,0.000588625
-0.005,-0.014393939,0.001,0.000350661
-0.00469697,-0.014393939,0.001,0.00012857
-0.004393939,-0.014393939,0.001,-7.56E-05
-0.004090909,-0.014393939,0.001,-0.000259506
-0.003787879,-0.014393939,0.001,-0.000420724
-0.003484848,-0.014393939,0.001,-0.000556701
-0.003181818,-0.014393939,0.001,-0.00066496
-0.002878788,-0.014393939,0.001,-0.000743244
-0.002575758,-0.014393939,0.001,-0.000789706
-0.002272727,-0.014393939,0.001,-0.000803115
-0.001969697,-0.014393939,0.001,-0.000783079
-0.001666667,-0.014393939,0.001,-0.00073024
-0.001363636,-0.014393939,0.001,-0.000646446
-0.001060606,-0.014393939,0.001,-0.00053485
-0.000757576,-0.014393939,0.001,-0.000399917
-0.000454545,-0.014393939,0.001,-0.000247316
-0.000151515,-0.014393939,0.001,-8.37E-05
0.000151515,-0.014393939,0.001,8.37E-05
0.000454545,-0.014393939,0.001,0.000247316
0.000757576,-0.014393939,0.001,0.000399917
0.001060606,-0.014393939,0.001,0.00053485
0.001363636,-0.014393939,0.001,0.000646446
0.001666667,-0.014393939,0.001,0.00073024
0.001969697,-0.014393939,0.001,0.000783079
0.002272727,-0.014393939,0.001,0.000803115
0.002575758,-0.014393939,0.001,0.000789706
0.002878788,-0.014393939,0.001,0.000743244
0.003181818,-0.014393939,0.001,0.00066496
0.003484848,-0.014393939,0.001,0.000556701
0.003787879,-0.014393939,0.001,0.000420724
0.004090909,-0.014393939,0.001,0.000259506
0.004393939,-0.014393939,0.001,7.56E-05
0.00469697,-0.014393939,0.001,-0.00012857
0.005,-0.014393939,0.001,-0.000350661
0.00530303,-0.014393939,0.001,-0.000588625
0.005606061,-0.014393939,0.001,-0.000840677
0.005909091,-0.014393939,0.001,-0.001105317
0.006212121,-0.014393939,0.001,-0.001381318
0.006515152,-0.014393939,0.001,-0.001667689
0.006818182,-0.014393939,0.001,-0.001963615
0.007121212,-0.014393939,0.001,-0.002268369
0.007424242,-0.014393939,0.001,-0.002581221
0.007727273,-0.014393939,0.001,-0.002901324
0.008030303,-0.014393939,0.001,-0.003227594
0.008333333,-0.014393939,0.001,-0.003558601
0.008636364,-0.014393939,0.001,-0.003892475
0.008939394,-0.014393939,0.001,-0.004226844
0.009242424,-0.014393939,0.001,-0.004558823
0.009545455,-0.014393939,0.001,-0.004885055
0.009848485,-0.014393939,0.001,-0.005201818
0.010151515,-0.014393939,0.001,-0.005505189
0.010454545,-0.014393939,0.001,-0.00579124
0.010757576,-0.014393939,0.001,-0.006056253
0.011060606,-0.014393939,0.001,-0.006296925
0.011363636,-0.014393939,0.001,-0.006510527
0.011666667,-0.014393939,0.001,-0.006695022
0.011969697,-0.014393939,0.001,-0.00684911
0.012272727,-0.014393939,0.001,-0.006972227
0.012575758,-0.014393939,0.001,-0.007064491
0.012878788,-0.014393939,0.001,-0.007126618
0.013181818,-0.014393939,0.001,-0.007159822
0.013484848,-0.014393939,0.001,-0.0071657
0.013787879,-0.014393939,0.001,-0.007146137
0.014090909,-0.014393939,0.001,-0.0071032
0.014393939,-0.014393939,0.001,-0.007039062
0.01469697,-0.014393939,0.001,-0.006955933
0.015,-0.014393939,0.001,-0.006856001
-0.015,-0.014090909,0.001,0.00694268
-0.01469697,-0.014090909,0.001,0.00703285
-0.014393939,-0.014090909,0.001,0.0071032
-0.014090909,-0.014090909,0.001,0.007151074
-0.013787879,-0.014090909,0.001,0.007173762
-0.013484848,-0.014090909,0.001,0.007168566
-0.013181818,-0.014090909,0.001,0.007132884
-0.012878788,-0.014090909,0.001,0.007064318
-0.012575758,-0.014090909,0.001,0.0069608
-0.012272727,-0.014090909,0.001,0.006820744
-0.011969697,-0.014090909,0.001,0.006643196
-0.011666667,-0.014090909,0.001,0.006427999
-0.011363636,-0.014090909,0.001,0.006175928
-0.011060606,-0.014090909,0.001,0.005888784
-0.010757576,-0.014090909,0.001,0.005569422
-0.010454545,-0.014090909,0.001,0.00522169
-0.010151515,-0.014090909,0.001,0.004850276
-0.009848485,-0.014090909,0.001,0.004460457
-0.009545455,-0.014090909,0.001,0.004057792
-0.009242424,-0.014090909,0.001,0.003647791
-0.008939394,-0.014090909,0.001,0.003235605
-0.008636364,-0.014090909,0.001,0.002825789
-0.008333333,-0.014090909,0.001,0.002422148
-0.008030303,-0.014090909,0.001,0.002027687
-0.007727273,-0.014090909,0.001,0.001644654
-0.007424242,-0.014090909,0.001,0.001274639
-0.007121212,-0.014090909,0.001,0.000918736
-0.006818182,-0.014090909,0.001,0.000577704
-0.006515152,-0.014090909,0.001,0.000252145
-0.006212121,-0.014090909,0.001,-5.73E-05
-0.005909091,-0.014090909,0.001,-0.000349997
-0.005606061,-0.014090909,0.001,-0.000624844
-0.00530303,-0.014090909,0.001,-0.000880549
-0.005,-0.014090909,0.001,-0.0011154
-0.00469697,-0.014090909,0.001,-0.001327271
-0.004393939,-0.014090909,0.001,-0.001513637
-0.004090909,-0.014090909,0.001,-0.001671617
-0.003787879,-0.014090909,0.001,-0.00179805
-0.003484848,-0.014090909,0.001,-0.001889623
-0.003181818,-0.014090909,0.001,-0.001943028
-0.002878788,-0.014090909,0.001,-0.001955183
-0.002575758,-0.014090909,0.001,-0.001923482
-0.002272727,-0.014090909,0.001,-0.001846094
-0.001969697,-0.014090909,0.001,-0.001722278
-0.001666667,-0.014090909,0.001,-0.001552699
-0.001363636,-0.014090909,0.001,-0.001339705
-0.001060606,-0.014090909,0.001,-0.00108751
-0.000757576,-0.014090909,0.001,-0.000802252
-0.000454545,-0.014090909,0.001,-0.000491861
-0.000151515,-0.014090909,0.001,-0.000165739
0.000151515,-0.014090909,0.001,0.000165739
0.000454545,-0.014090909,0.001,0.000491861
0.000757576,-0.014090909,0.001,0.000802252
0.001060606,-0.014090909,0.001,0.00108751
0.001363636,-0.014090909,0.001,0.001339705
0.001666667,-0.014090909,0.001,0.001552699
0.001969697,-0.014090909,0.001,0.001722278
0.002272727,-0.014090909,0.001,0.001846094
0.002575758,-0.014090909,0.001,0.001923482
0.002878788,-0.014090909,0.001,0.001955183
0.003181818,-0.014090909,0.001,0.001943028
0.003484848,-0.014090909,0.001,0.001889623
0.003787879,-0.014090909,0.001,0.00179805
0.004090909,-0.014090909,0.001,0.001671617
0.004393939,-0.014090909,0.001,0.001513637
0.00469697,-0.014090909,0.001,0.001327271
0.005,-0.014090909,0.001,0.0011154
0.00530303,-0.014090909,0.001,0.000880549
0.005606061,-0.014090909,0.001,0.000624844
0.005909091,-0.014090909,0.001,0.000349997
0.006212121,-0.014090909,0.001,5.73E-05
0.006515152,-0.014090909,0.001,-0.000252145
0.006818182,-0.014090909,0.001,-0.000577704
0.007121212,-0.014090909,0.001,-0.000918736
0.007424242,-0.014090909,0.001,-0.001274639
0.007727273,-0.014090909,0.001,-0.001644654
0.008030303,-0.014090909,0.001,-0.002027687
0.008333333,-0.014090909,0.001,-0.002422148
0.008636364,-0.014090909,0.001,-0.002825789
0.008939394,-0.014090909,0.001,-0.003235605
0.009242424,-0.014090909,0.001,-0.003647791
0.009545455,-0.014090909,0.001,-0.004057792
0.009848485,-0.014090909,0.001,-0.004460457
0.010151515,-0.014090909,0.001,-0.004850276
0.010454545,-0.014090909,0.001,-0.00522169
0.010757576,-0.014090909,0.001,-0.005569422
0.011060606,-0.014090909,0.001,-0.005888784
0.011363636,-0.014090909,0.001,-0.006175928
0.011666667,-0.014090909,0.001,-0.006427999
0.011969697,-0.014090909,0.001,-0.006643196
0.012272727,-0.014090909,0.001,-0.006820744
0.012575758,-0.014090909,0.001,-0.0069608
0.012878788,-0.014090909,0.001,-0.007064318
0.013181818,-0.014090909,0.001,-0.007132884
0.013484848,-0.014090909,0.001,-0.007168566
0.013787879,-0.014090909,0.001,-0.007173762
0.014090909,-0.014090909,0.001,-0.007151074
0.014393939,-0.014090909,0.001,-0.0071032
0.01469697,-0.014090909,0.001,-0.00703285
0.015,-0.014090909,0.001,-0.00694268
-0.015,-0.013787879,0.001,0.007014068
-0.01469697,-0.013787879,0.001,0.00709182
-0.014393939,-0.013787879,0.001,0.007146137
-0.014090909,-0.013787879,0.001,0.007173762
-0.013787879,-0.013787879,0.001,0.00717133
-0.013484848,-0.013787879,0.001,0.00713544
-0.013181818,-0.013787879,0.001,0.007062755
-0.012878788,-0.013787879,0.001,0.00695014
-0.012575758,-0.013787879,0.001,0.006794833
-0.012272727,-0.013787879,0.001,0.006594644
-0.011969697,-0.013787879,0.001,0.006348192
-0.011666667,-0.013787879,0.001,0.006055145
-0.011363636,-0.013787879,0.001,0.005716447
-0.011060606,-0.013787879,0.001,0.005334492
-0.010757576,-0.013787879,0.001,0.004913198
-0.010454545,-0.013787879,0.001,0.004457953
-0.010151515,-0.013787879,0.001,0.003975391
-0.009848485,-0.013787879,0.001,0.00347302
-0.009545455,-0.013787879,0.001,0.00295874
-0.009242424,-0.013787879,0.001,0.00244032
-0.008939394,-0.013787879,0.001,0.001924912
-0.008636364,-0.013787879,0.001,0.001418693
-0.008333333,-0.013787879,0.001,0.000926648
-0.008030303,-0.013787879,0.001,0.000452524
-0.007727273,-0.013787879,0.001,-1.07E-06
-0.007424242,-0.013787879,0.001,-0.000432502
-0.007121212,-0.013787879,0.001,-0.000840818
-0.006818182,-0.013787879,0.001,-0.001225532
-0.006515152,-0.013787879,0.001,-0.001586345
-0.006212121,-0.013787879,0.001,-0.001922929
-0.005909091,-0.013787879,0.001,-0.002234734
-0.005606061,-0.013787879,0.001,-0.002520843
-0.00530303,-0.013787879,0.001,-0.002779859
-0.005,-0.013787879,0.001,-0.003009833
-0.00469697,-0.013787879,0.001,-0.003208232
-0.004393939,-0.013787879,0.001,-0.003371939
-0.004090909,-0.013787879,0.001,-0.0034973
-0.003787879,-0.013787879,0.001,-0.003580218
-0.003484848,-0.013787879,0.001,-0.003616294
-0.003181818,-0.013787879,0.001,-0.003601032
-0.002878788,-0.013787879,0.001,-0.003530113
-0.002575758,-0.013787879,0.001,-0.003399742
-0.002272727,-0.013787879,0.001,-0.003207057
-0.001969697,-0.013787879,0.001,-0.002950597
-0.001666667,-0.013787879,0.001,-0.002630793
-0.001363636,-0.013787879,0.001,-0.00225042
-0.001060606,-0.013787879,0.001,-0.001814942
-0.000757576,-0.013787879,0.001,-0.001332668
-0.000454545,-0.013787879,0.001,-0.000814622
-0.000151515,-0.013787879,0.001,-0.000274097
0.000151515,-0.013787879,0.001,0.000274097
0.000454545,-0.013787879,0.001,0.000814622
0.000757576,-0.013787879,0.001,0.001332668
0.001060606,-0.013787879,0.001,0.001814942
0.001363636,-0.013787879,0.001,0.00225042
0.001666667,-0.013787879,0.001,0.002630793
0.001969697,-0.013787879,0.001,0.002950597
0.002272727,-0.013787879,0.001,0.003207057
0.002575758,-0.013787879,0.001,0.003399742
0.002878788,-0.013787879,0.001,0.003530113
0.003181818,-0.013787879,0.001,0.003601032
0.003484848,-0.013787879,0.001,0.003616294
0.003787879,-0.013787879,0.001,0.003580218
0.004090909,-0.013787879,0.001,0.0034973
0.004393939,-0.013787879,0.001,0.003371939
0.00469697,-0.013787879,0.001,0.003208232
0.005,-0.013787879,0.001,0.003009833
0.00530303,-0.013787879,0.001,0.002779859
0.005606061,-0.013787879,0.001,0.002520843
0.005909091,-0.013787879,0.001,0.002234734
0.006212121,-0.013787879,0.001,0.001922929
0.006515152,-0.013787879,0.001,0.001586345
0.006818182,-0.013787879,0.001,0.001225532
0.007121212,-0.013787879,0.001,0.000840818
0.007424242,-0.013787879,0.001,0.000432502
0.007727273,-0.013787879,0.001,1.07E-06
0.008030303,-0.013787879,0.001,-0.000452524
0.008333333,-0.013787879,0.001,-0.000926648
0.008636364,-0.013787879,0.001,-0.001418693
0.008939394,-0.013787879,0.001,-0.001924912
0.009242424,-0.013787879,0.001,-0.00244032
0.009545455,-0.013787879,0.001,-0.00295874
0.009848485,-0.013787879,0.001,-0.00347302
0.010151515,-0.013787879,0.001,-0.003975391
0.010454545,-0.013787879,0.001,-0.004457953
0.010757576,-0.013787879,0.001,-0.004913198
0.011060606,-0.013787879,0.001,-0.005334492
0.011363636,-0.013787879,0.001,-0.005716447
0.011666667,-0.013787879,0.001,-0.006055145
0.011969697,-0.013787879,0.001,-0.006348192
0.012272727,-0.013787879,0.001,-0.006594644
0.012575758,-0.013787879,0.001,-0.006794833
0.012878788,-0.013787879,0.001,-0.00695014
0.013181818,-0.013787879,0.001,-0.007062755
0.013484848,-0.013787879,0.001,-0.00713544
0.013787879,-0.013787879,0.001,-0.00717133
0.014090909,-0.013787879,0.001,-0.007173762
0.014393939,-0.013787879,0.001,-0.007146137
0.01469697,-0.013787879,0.001,-0.00709182
0.015,-0.013787879,0.001,-0.007014068
-0.015,-0.013484848,0.001,0.007068678
-0.01469697,-0.013484848,0.001,0.007131065
-0.014393939,-0.013484848,0.001,0.0071657
-0.014090909,-0.013484848,0.001,0.007168566
-0.013787879,-0.013484848,0.001,0.00713544
-0.013484848,-0.013484848,0.001,0.007061978
-0.013181818,-0.013484848,0.001,0.006943833
-0.012878788,-0.013484848,0.001,0.006776819
-0.012575758,-0.013484848,0.001,0.006557131
-0.012272727,-0.013484848,0.001,0.006281628
-0.011969697,-0.013484848,0.001,0.00594817
-0.011666667,-0.013484848,0.001,0.005555988
-0.011363636,-0.013484848,0.001,0.005106063
-0.011060606,-0.013484848,0.001,0.004601441
-0.010757576,-0.013484848,0.001,0.004047413
-0.010454545,-0.013484848,0.001,0.003451485
-0.010151515,-0.013484848,0.001,0.002823076
-0.009848485,-0.013484848,0.001,0.002172949
-0.009545455,-0.013484848,0.001,0.001512434
-0.009242424,-0.013484848,0.001,0.000852582
-0.008939394,-0.013484848,0.001,0.000203393
-0.008636364,-0.013484848,0.001,-0.000426744
-0.008333333,-0.013484848,0.001,-0.001031344
-0.008030303,-0.013484848,0.001,-0.00160584
-0.007727273,-0.013484848,0.001,-0.002147382
-0.007424242,-0.013484848,0.001,-0.0026545
-0.007121212,-0.013484848,0.001,-0.0031267
-0.006818182,-0.013484848,0.001,-0.003564064
-0.006515152,-0.013484848,0.001,-0.003966882
-0.006212121,-0.013484848,0.001,-0.004335342
-0.005909091,-0.013484848,0.001,-0.004669275
-0.005606061,-0.013484848,0.001,-0.004967961
-0.00530303,-0.013484848,0.001,-0.005229991
-0.005,-0.013484848,0.001,-0.005453169
-0.00469697,-0.013484848,0.001,-0.005634465
-0.004393939,-0.013484848,0.001,-0.005770012
-0.004090909,-0.013484848,0.001,-0.005855142
-0.003787879,-0.013484848,0.001,-0.00588449
-0.003484848,-0.013484848,0.001,-0.005852153
-0.003181818,-0.013484848,0.001,-0.005751936
-0.002878788,-0.013484848,0.001,-0.005577693
-0.002575758,-0.013484848,0.001,-0.005323777
-0.002272727,-0.013484848,0.001,-0.004985614
-0.001969697,-0.013484848,0.001,-0.004560383
-0.001666667,-0.013484848,0.001,-0.004047771
-0.001363636,-0.013484848,0.001,-0.003450723
-0.001060606,-0.013484848,0.001,-0.002776082
-0.000757576,-0.013484848,0.001,-0.002034944
-0.000454545,-0.013484848,0.001,-0.001242592
-0.000151515,-0.013484848,0.001,-0.000417888
0.000151515,-0.013484848,0.001,0.000417888
0.000454545,-0.013484848,0.001,0.001242592
0.000757576,-0.013484848,0.001,0.002034944
0.001060606,-0.013484848,0.001,0.002776082
0.001363636,-0.013484848,0.001,0.003450723
0.001666667,-0.013484848,0.001,0.004047771
0.001969697,-0.013484848,0.001,0.004560383
0.002272727,-0.013484848,0.001,0.004985614
0.002575758,-0.013484848,0.001,0.005323777
0.002878788,-0.013484848,0.001,0.005577693
0.003181818,-0.013484848,0.001,0.005751936
0.003484848,-0.013484848,0.001,0.005852153
0.003787879,-0.013484848,0.001,0.00588449
0.004090909,-0.013484848,0.001,0.005855142
0.004393939,-0.013484848,0.001,0.005770012
0.00469697,-0.013484848,0.001,0.005634465
0.005,-0.013484848,0.001,0.005453169
0.00530303,-0.013484848,0.001,0.005229991
0.005606061,-0.013484848,0.001,0.004967961
0.005909091,-0.013484848,0.001,0.004669275
0.006212121,-0.013484848,0.001,0.004335342
0.006515152,-0.013484848,0.001,0.003966882
0.006818182,-0.013484848,0.001,0.003564064
0.007121212,-0.013484848,0.001,0.0031267
0.007424242,-0.013484848,0.001,0.0026545
0.007727273,-0.013484848,0.001,0.002147382
0.008030303,-0.013484848,0.001,0.00160584
0.008333333,-0.013484848,0.001,0.001031344
0.008636364,-0.013484848,0.001,0.000426744
0.008939394,-0.013484848,0.001,-0.000203393
0.009242424,-0.013484848,0.001,-0.000852582
0.009545455,-0.013484848,0.001,-0.001512434
0.009848485,-0.013484848,0.001,-0.002172949
0.010151515,-0.013484848,0.001,-0.002823076
0.010454545,-0.013484848,0.001,-0.003451485
0.010757576,-0.013484848,0.001,-0.004047413
0.011060606,-0.013484848,0.001,-0.004601441
0.011363636,-0.013484848,0.001,-0.005106063
0.011666667,-0.013484848,0.001,-0.005555988
0.011969697,-0.013484848,0.001,-0.00594817
0.012272727,-0.013484848,0.001,-0.006281628
